                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.87216,                0.82376,                 1.1096,                0.79853,                0.63437,                0.74006,                0.51841,                 1.0655,                 1.0932,                 1.2408,             0.00026422,             0.00026422,             0.00026422
                     87,                0.85573,                0.81506,                 1.1058,                0.78463,                 0.6315,                0.73535,                0.52111,                 1.0599,                 1.0677,                   1.24,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.8614,                0.79796,                 1.1057,                 0.7608,                0.68408,                0.74412,                0.53061,                 1.0459,                 1.0582,                   1.24,             0.00023121,             0.00023121,             0.00023121
                     89,                0.84057,                0.80094,                 1.1058,                 0.8364,                0.60701,                0.73333,                0.53277,                 1.0361,                  1.086,                 1.2268,             0.00021471,             0.00021471,             0.00021471
                     90,                0.85136,                0.79436,                 1.0962,                0.78338,                0.64829,                0.73948,                0.53237,                 1.0442,                 1.0773,                 1.2288,             0.00019821,             0.00019821,             0.00019821
                     91,                0.73849,                0.65842,                 1.0404,                0.83255,                 0.6235,                0.74254,                0.52875,                 1.0568,                 1.0513,                 1.2348,              0.0001817,              0.0001817,              0.0001817
                     92,                0.72466,                0.62277,                 1.0178,                0.79769,                0.64095,                0.73639,                0.52401,                 1.0545,                  1.062,                 1.2498,              0.0001652,              0.0001652,              0.0001652
                     93,                0.70606,                0.61409,                 1.0073,                0.82619,                 0.6423,                0.73921,                0.53049,                 1.0501,                 1.0722,                 1.2448,              0.0001487,              0.0001487,              0.0001487
                     94,                0.69258,                0.59868,                 1.0002,                0.82756,                0.63582,                0.74135,                0.53188,                 1.0461,                 1.0628,                   1.24,             0.00013219,             0.00013219,             0.00013219
                     95,                0.69292,                0.59418,                 1.0036,                0.81488,                0.65484,                0.74658,                0.53905,                 1.0363,                  1.048,                 1.2317,             0.00011569,             0.00011569,             0.00011569
                     96,                0.68044,                0.58613,                0.99359,                0.79095,                0.66871,                0.74277,                0.53915,                 1.0475,                 1.0561,                 1.2442,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.68926,                0.58121,                0.99303,                0.75365,                0.68067,                0.74064,                0.53819,                 1.0417,                 1.0682,                 1.2431,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.69531,                 0.5904,                 1.0039,                0.76841,                0.66484,                0.74074,                0.53429,                 1.0407,                 1.0789,                  1.235,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.67228,                0.57335,                0.98533,                 0.8061,                0.63264,                0.74365,                0.54412,                  1.036,                 1.0713,                 1.2322,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.68653,                0.57829,                0.98675,                0.85369,                0.61927,                0.74332,                0.54272,                 1.0312,                 1.0695,                 1.2269,             3.3173e-05,             3.3173e-05,             3.3173e-05
